code,name,trading_value,open_price,high_price,low_price,close_price
709864,系統電國票61購03,0,,,,
709865,朋程國票5C購01,0,,,,
709866,東浦國票61購02,0,,,,
709867,順達國票61購02,0,,,,
709868,緯軟國票61購01,50200,0.42,0.42,0.41,0.41
709869,華容群益5C購02,0,,,,
709870,廣閎科群益5C購01,0,,,,
709871,順達中信5C購01,13720,0.23,0.26,0.23,0.25
709872,聖暉*中信5C購01,0,,,,
709873,世紀*永豐5C購01,2009950,7.7,7.7,5.7,5.7
709874,博智永豐5C購03,0,,,,
709875,中美晶元大5C購10,672440,1.27,1.27,1.2,1.2
709876,宏觀元大5C購04,0,,,,
709877,良維元大5C購04,0,,,,
709878,博智元大5C購03,0,,,,
709879,華容元大5C購01,0,,,,
709880,順達元大5C購07,0,,,,
709881,精材元大5C購04,0,,,,
709882,臺慶科元大5C購02,0,,,,
709883,系統電凱基5C購05,0,,,,
709884,佳邦凱基5C購04,0,,,,
709885,泓格凱基5C購01,0,,,,
709886,金益鼎凱基5C購01,0,,,,
709887,茂迪凱基61購01,0,,,,
709888,創惟凱基61購01,0,,,,
709889,湧德凱基61購01,9900,0.3,0.3,0.3,0.3
709890,華容凱基61購01,8950,0.61,0.61,0.59,0.59
709891,群聯凱基5C購06,0,,,,
709892,臺慶科凱基61購01,0,,,,
709893,廣閎科凱基5C購01,413960,0.51,0.51,0.45,0.45
709894,雙鴻凱基5C購09,44200,1.43,1.51,1.43,1.51
709895,騰雲凱基61購01,114510,0.49,0.51,0.49,0.5
709896,中美晶統一66購02,657990,0.86,0.91,0.86,0.86
709897,立敦統一63購02,0,,,,
709898,立敦統一64購02,0,,,,
709899,立敦統一64購03,0,,,,
709900,佳邦統一64購01,0,,,,
709901,佳邦統一66購01,0,,,,
709902,宜鼎統一64購01,3950,0.27,0.27,0.26,0.26
709903,宜鼎統一64購02,0,,,,
709904,宜鼎統一64購03,0,,,,
709905,宜鼎統一64購04,0,,,,
709906,宜鼎統一66購03,170180,0.29,0.29,0.28,0.28
709907,宜鼎統一66購04,39360,0.41,0.41,0.41,0.41
709908,威剛統一6A購01,0,,,,
709909,建榮統一66購01,0,,,,
709910,建榮統一6A購03,0,,,,
709911,家登統一66購01,77700,0.6,0.6,0.59,0.59
709912,凱崴統一66購01,0,,,,
709913,博智統一6C購01,0,,,,
709914,富喬統一64購02,146100,0.93,0.94,0.92,0.92
709915,富喬統一64購03,294930,0.91,0.91,0.87,0.87
709916,富喬統一66購01,934450,1.2,1.27,1.2,1.21
709917,群聯統一64購02,0,,,,
709918,精材統一66購01,51400,1.98,2.0,1.95,2.0
709919,精材統一6C購01,5960,1.49,1.49,1.49,1.49
709920,臺慶科統一64購02,37050,0.19,0.19,0.19,0.19
709921,臺慶科統一66購02,2850,0.19,0.19,0.19,0.19
709922,臺慶科統一66購03,31500,0.19,0.2,0.19,0.2
709923,臺慶科統一6A購02,0,,,,
709924,廣閎科統一66購01,0,,,,
709925,廣運統一66購01,0,,,,
709926,廣運統一6C購01,0,,,,
709927,優群統一66購02,0,,,,
709928,雙鴻統一64購01,273440,0.83,0.89,0.83,0.89
709929,雙鴻統一65購02,406230,1.35,1.44,1.33,1.44
709930,宏觀國泰61購01,0,,,,
709931,金益鼎國泰61購01,10400,0.52,0.52,0.52,0.52
709932,立敦台新5C購03,150,0.05,0.05,0.05,0.05
709933,威剛台新5C購01,292950,1.05,1.05,1.05,1.05
709934,威剛台新5C購02,1662970,1.56,1.65,1.56,1.65
709935,威剛台新5C購03,14150,2.83,2.83,2.83,2.83
709936,威剛台新61購01,118810,1.21,1.24,1.21,1.24
709937,威剛台新62購01,51920,1.96,2.02,1.96,2.02
709938,威剛台新63購01,18240,0.96,0.96,0.96,0.96
709939,威剛台新66購01,39670,1.19,1.21,1.19,1.21
709940,茂迪台新5C購01,0,,,,
709941,凱崴台新5C購01,5500,0.22,0.22,0.22,0.22
709942,華容台新5C購03,0,,,,
709943,威剛富邦5C購01,33640,0.58,0.58,0.58,0.58
709944,宜鼎永豐61購01,85760,0.51,0.51,0.48,0.48
709945,胡連永豐61購01,47660,0.35,0.36,0.35,0.36
709946,艾訊國票61購01,0,,,,
709947,良維國票61購01,0,,,,
709948,朋億*國票61購01,2400,0.48,0.48,0.48,0.48
709949,東浦國票61購03,0,,,,
709950,茂迪國票61購01,0,,,,
709951,凱崴國票61購03,0,,,,
709952,寶雅國票61購01,0,,,,
709953,台半群益62購02,4550,0.91,0.91,0.91,0.91
709954,中美晶凱基5C購03,0,,,,
709955,宏觀凱基5C購01,0,,,,
709956,良維凱基5C購04,0,,,,
709957,朋程凱基5C購01,0,,,,
709958,博智凱基5C購04,180000,0.36,0.36,0.36,0.36
709959,群ESG凱基61購01,0,,,,
709961,緯軟凱基5C購01,0,,,,
709962,世界統一6A購01,99360,0.54,0.54,0.54,0.54
709963,正基統一66購01,0,,,,
709964,立敦統一68購01,0,,,,
709965,宏觀統一6A購01,0,,,,
709966,家登統一6A購01,0,,,,
709967,富喬統一66購02,185460,1.1,1.1,1.09,1.09
709968,晶焱統一6A購01,0,,,,
709969,順達統一6A購01,49920,0.52,0.52,0.52,0.52
709970,群聯統一63購03,59400,0.45,0.45,0.45,0.45
709971,群聯國泰61購03,5710,1.45,1.46,1.39,1.39
709972,富喬台新5C購04,0,,,,
709973,世界富邦61購02,0,,,,
709974,立碁富邦5C購01,2098350,1.73,1.85,1.57,1.67
709975,良維富邦61購03,0,,,,
709976,世界元大5C購06,118320,0.97,0.99,0.94,0.99
709977,宜鼎元大5C購09,0,,,,
709978,順達元大5C購08,229940,0.85,0.9,0.85,0.9
709979,臺慶科元大5C購03,0,,,,
709980,雙鴻元大5C購06,2115530,1.37,1.53,1.37,1.53
709981,家登永豐5C購02,0,,,,
709982,漢達永豐61購01,34600,3.46,3.46,3.46,3.46
709983,宜鼎元大5C購10,178560,0.36,0.36,0.36,0.36
709984,千附國票61購01,65030,0.96,0.96,0.91,0.91
709985,世禾國票61購01,0,,,,
709986,台特化國票61購02,0,,,,
709987,伯特光國票61購01,151950,0.37,0.37,0.35,0.35
709988,岱稜國票61購01,0,,,,
709989,昇佳電國票61購01,0,,,,
709990,朋億*國票61購02,0,,,,
709991,欣銓國票61購02,29800,1.11,1.11,1.1,1.1
709992,信音國票61購01,17050,0.35,0.35,0.34,0.34
709993,茂綸國票61購01,0,,,,
709994,新普國票61購01,1140,0.38,0.38,0.38,0.38
709995,聖暉*國票61購02,0,,,,
709996,精材國票61購01,0,,,,
709997,綠界*國票61購01,33350,0.29,0.29,0.29,0.29
709998,中美晶群益5C購03,13150,0.87,0.89,0.87,0.89
709999,順達群益5C購02,519850,0.86,0.89,0.84,0.87
710000,精材群益5C購02,40700,6.8,6.8,6.7,6.7
710001,加高國泰61購01,430,0.43,0.43,0.43,0.43
710002,宜鼎國泰61購05,0,,,,
710003,宜鼎國泰61購06,0,,,,
710004,信音國泰61購01,0,,,,
710005,臺慶科國泰61購02,0,,,,
710006,中美晶凱基5C購04,12420,0.69,0.69,0.69,0.69
710007,台半凱基61購03,0,,,,
710008,宜鼎凱基5C購06,6000,0.24,0.24,0.24,0.24
710009,順達凱基5C購04,860,0.43,0.43,0.43,0.43
710010,群聯凱基5C購07,0,,,,
710011,臺慶科凱基5C購04,0,,,,
710012,雙鴻凱基5C購10,0,,,,
710013,大中統一6A購01,0,,,,
710014,中美晶統一64購02,16810,0.89,0.89,0.85,0.85
710015,朋億*統一63購01,0,,,,
710016,朋億*統一68購01,2250,0.45,0.45,0.45,0.45
710017,宣德統一66購01,0,,,,
710018,建榮統一63購01,0,,,,
710019,凱崴統一63購01,8360,0.22,0.22,0.22,0.22
710020,凱崴統一65購01,0,,,,
710021,博智統一62購03,0,,,,
710022,富喬統一63購01,167320,1.35,1.36,1.28,1.28
710023,富喬統一65購03,27540,1.23,1.23,1.19,1.2
710024,富喬統一6C購02,4246460,0.85,0.87,0.84,0.85
710025,聖暉*統一6A購03,0,,,,
