code,name,trading_value
700679,智擎統一6A購01,0
700681,鈊象統一6A購01,620
700682,萬潤統一6A購02,7580
700683,雍智統一6A購01,22630
700684,雍智統一6A購02,4290
700685,臺慶科統一5A購01,0
700686,臺慶科統一6A購01,0
700687,緯軟統一6A購01,41040
700688,營邦統一6A購01,72530
700689,聯合統一61購01,4360
700706,中光電統一5A購01,0
700708,信立統一6A購01,0
700709,神盾統一5C購02,0
700710,智通*統一6A購02,5000
700711,華星光統一6A購01,185260
700712,聖暉*統一6A購02,11900
700717,宜鼎元大5A購01,0
700737,鴻呈國票59購01,0
700742,聖暉*永豐5A購01,0
700746,雙鴻中信5A購02,0
700754,台半統一5C購02,2120
700755,宜鼎統一6A購02,0
700756,威剛統一5C購03,2310
700757,竑騰統一5C購01,0
700758,穩得統一5C購01,0
700786,威剛永豐5A購01,0
700810,山富統一5C購01,0
700811,光頡統一5C購01,0
700812,信昌電統一5C購01,64350
700827,信立永豐5A購01,0
700828,威剛永豐64購01,0
700830,中美晶元大5A購01,3240
700843,世界統一5C購01,0
700844,立敦統一5C購01,0
700845,臺慶科統一5C購01,0
700850,臺慶科國票5C購01,0
700857,良維元大5A購01,0
700875,良維元大5A購02,0
700898,力旺統一5A購01,2690
700899,力旺統一6A購01,873730
700900,台半統一5C購03,63560
700901,尼克森統一5C購01,0
700902,光頡統一5A購01,0
700904,波若威統一6A購01,146320
700920,波若威永豐5A購01,64800
700929,蜜望實國票5A購01,0
700938,中美晶兆豐5A購01,0
700955,撼訊元大5A購01,0
700983,威剛兆豐5A購01,0
701010,雙鴻元富5A購01,0
701037,威剛永豐5C購01,0
701064,元債20群益61購01,0
701095,擎亞元大5A購01,0
701097,營邦元大5A購01,2300
701130,元債20元大5B購01,0
701131,元債20元大61購01,0
701153,雙鴻群益5A購01,0
701200,雙鴻元大5A購03,0
701211,威剛凱基5B購01,0
701227,雙鴻元大5A購04,0
701253,穩懋國票5B購01,0
701273,撼訊凱基5B購01,0
701279,雙鴻國票5B購01,2340
701287,威剛元大5B購01,0
701288,訊聯元大5B購01,0
701294,新應材元大5B購01,0
701311,雙鴻群益5B購01,0
