code,name,roc_year,quarter,gross_margin_pct
5269,祥碩,115,2,50.57
5283,禾聯碩,115,2,33.28
5284,jpp-KY,115,2,39.84
5285,界霖,115,2,18.11
5288,豐祥-KY,115,2,23.57
5292,華懋,115,2,25.67
5306,桂盟,115,2,42.21
5388,中磊,115,2,12.91
5434,崇越,115,2,13.54
5469,瀚宇博,115,2,15.61
5471,松翰,115,2,41.64
5484,慧友,115,2,15.63
5515,建國,115,2,19.36
5519,隆大,115,2,30.19
5521,工信,115,2,8.46
5522,遠雄,115,2,35.51
5525,順天,115,2,33.81
5531,鄉林,115,2,16.3
5533,皇鼎,115,2,28.14
5534,長虹,115,2,28.46
5538,東明-KY,115,2,17.61
5546,永固-KY,115,2,6.68
5607,遠雄港,115,2,52.98
5608,四維航,115,2,18.42
5706,鳳凰,115,2,13.43
5871,中租-KY,115,2,66.39
5906,台南-KY,115,2,54.6
5907,大洋-KY,115,2,85.07
6108,競國,115,2,3.5
6112,邁達特,115,2,14.36
6115,鎰勝,115,2,14.9
6116,彩晶,115,2,-3.24
6117,迎廣,115,2,34.1
6120,達運,115,2,3.8
6128,上福,115,2,41.16
6133,金橋,115,2,25.45
6136,富爾特,115,2,29.6
6139,亞翔,115,2,20.16
6141,柏承,115,2,10.46
6142,友勁,115,2,10.78
6152,百一,115,2,26.93
6153,嘉聯益,115,2,-4.87
6155,鈞寶,115,2,26.96
6164,華興,115,2,31.83
6165,浪凡,115,2,30.07
6166,凌華,115,2,34.55
6168,宏齊,115,2,24.16
6176,瑞儀,115,2,21.91
6177,達麗,115,2,42.89
6183,關貿,115,2,45.94
6184,大豐電,115,2,53.87
6189,豐藝,115,2,9.24
6191,精成科,115,2,15.87
6192,巨路,115,2,33.57
6196,帆宣,115,2,13.5
6197,佳必琪,115,2,35.89
6201,亞弘電,115,2,23.47
6202,盛群,115,2,42.36
6205,詮欣,115,2,37.46
6206,飛捷,115,2,45.49
6209,今國光,115,2,28.06
6213,聯茂,115,2,17.33
6214,精誠,115,2,18.57
6215,和椿,115,2,27.23
6216,居易,115,2,42.77
6224,聚鼎,115,2,33.69
6225,天瀚,115,2,45.2
6226,光鼎,115,2,30.61
6230,尼得科超眾,115,2,17.36
6235,華孚,115,2,24.54
6239,力成,115,2,20.65
6243,迅杰,115,2,50.8
6257,矽格,115,2,33.02
6269,台郡,115,2,1.43
6271,同欣電,115,2,29.62
6272,驊陞,115,2,20.92
6277,宏正,115,2,61.35
6278,台表科,115,2,11.56
6281,全國電,115,2,20.12
6282,康舒,115,2,22.73
6283,淳安,115,2,7.86
6285,啟碁,115,2,13.32
6405,悅城,115,2,-8839.11
6409,旭隼,115,2,25.63
6412,群電,115,2,14.44
6414,樺漢,115,2,19.66
6415,矽力*-KY,115,2,47.56
6416,瑞祺電通,115,2,24.84
6426,統新,115,2,49.07
6431,光麗-KY,115,2,31.5
6438,迅得,115,2,26.13
6442,光聖,115,2,59.5
6443,元晶,115,2,-24.03
6446,藥華藥,115,2,91.51
6449,鈺邦,115,2,35.46
6451,訊芯-KY,115,2,14.71
6456,GIS-KY,115,2,4.33
6464,台數科,115,2,50.42
6472,保瑞,115,2,39.16
6477,安集,115,2,32.63
6491,晶碩,115,2,53.15
6504,南六,115,2,13.4
6505,台塑化,115,2,15.25
6515,穎崴,115,2,40.47
6525,捷敏-KY,115,2,27.66
6526,達發,115,2,51.89
6531,愛普*,115,2,47.71
6533,晶心科,115,2,99.87
6534,正瀚-創,115,2,85.73
6541,泰福-KY,115,2,-139.4
6550,北極星藥業-KY,115,2,-223.14
6552,易華電,115,2,-9.29
6558,興能高,115,2,11.14
6573,虹揚-KY,115,2,16.47
6579,研揚,115,2,34.52
6581,鋼聯,115,2,58.3
6582,申豐,115,2,2.15
6585,鼎基,115,2,37.29
6589,台康生技,115,2,32.67
6591,動力-KY,115,2,23.56
6592,和潤企業,115,2,61.64
6598,ABC-KY,115,2,67.55
6605,帝寶,115,2,31.88
6606,建德工業,115,2,43.38
6614,資拓宏宇,115,2,11.8
6625,必應,115,2,23.96
6641,基士德-KY,115,2,31.4
6645,金萬林-創,115,2,14.96
6655,科定,115,2,49.43
6657,華安,115,2,71.91
6658,聯策,115,2,23.58
6666,羅麗芬-KY,115,2,68.97
6668,中揚光,115,2,14.2
6669,緯穎,115,2,8.41
6670,復盛應用,115,2,24.81
6671,三能-KY,115,2,37.16
6672,騰輝電子-KY,115,2,35.13
6674,鋐寶科技,115,2,12.79
6689,伊雲谷,115,2,9.55
6691,洋基工程,115,2,18.24
6695,芯鼎,115,2,37.58
6698,旭暉應材,115,2,-5.33
6706,惠特,115,2,-8.45
6715,嘉基,115,2,32.53
6719,力智,115,2,40.15
6722,輝創,115,2,21.49
6742,澤米,115,2,-12.27
6743,安普新,115,2,17.58
6753,龍德造船,115,2,39.19
6754,匯僑設計,115,2,22.72
6756,威鋒電子,115,2,44.35
6757,台灣虎航,115,2,29.31
6768,志強-KY,115,2,16.77
6770,力積電,115,2,20.34
6771,平和環保-創,115,2,46.82
6776,展碁國際,115,2,7.77
6781,AES-KY,115,2,37.63
6782,視陽,115,2,47.33
6789,采鈺,115,2,31.37
6790,永豐實,115,2,28.03
6792,詠業,115,2,35.66
6794,向榮生技,115,2,62.07
6796,晉弘,115,2,37.25
6799,來頡,115,2,46.22
6805,富世達,115,2,33.13
6807,峰源-KY,115,2,15.86
6830,汎銓,115,2,23.35
6831,邁科,115,2,20.0
